,symboling,normalized-losses, wheel-base, length, width, height, curb-weight, engine-size, compression-ratio, horsepower, peak-rpm, city-mpg, highway-mpg,  price,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location, engine-type, num-of-cylinders, fuel-system, bore, stroke,  price
130,0.0,115.0,96.1,181.5,66.5,55.2,2579.0,132.0,8.7,95.0,5200.0,23.0,31.0,9295.0,renault,gas,std,four,wagon,fwd,front,ohc,four,mpfi,3.46,3.90,9295
131,2.0,115.0,96.1,176.8,66.6,50.5,2460.0,132.0,8.7,95.0,5200.0,23.0,31.0,9895.0,renault,gas,std,two,hatchback,fwd,front,ohc,four,mpfi,3.46,3.90,9895
132,3.0,150.0,99.1,186.6,66.5,56.1,2658.0,121.0,9.31,110.0,5250.0,21.0,28.0,11850.0,saab,gas,std,two,hatchback,fwd,front,ohc,four,mpfi,3.54,3.07,11850
133,2.0,104.0,99.1,186.6,66.5,56.1,2695.0,121.0,9.3,110.0,5250.0,21.0,28.0,12170.0,saab,gas,std,four,sedan,fwd,front,ohc,four,mpfi,3.54,3.07,12170
134,3.0,150.0,99.1,186.6,66.5,56.1,2707.0,121.0,9.3,110.0,5250.0,21.0,28.0,15040.0,saab,gas,std,two,hatchback,fwd,front,ohc,four,mpfi,2.54,2.07,15040
135,2.0,104.0,99.1,186.6,66.5,56.1,2758.0,121.0,9.3,110.0,5250.0,21.0,28.0,15510.0,saab,gas,std,four,sedan,fwd,front,ohc,four,mpfi,3.54,3.07,15510
136,3.0,150.0,99.1,186.6,66.5,56.1,2808.0,121.0,9.0,160.0,5500.0,19.0,26.0,18150.0,saab,gas,turbo,two,hatchback,fwd,front,dohc,four,mpfi,3.54,3.07,18150
137,2.0,104.0,99.1,186.6,66.5,56.1,2847.0,121.0,9.0,160.0,5500.0,19.0,26.0,18620.0,saab,gas,turbo,four,sedan,fwd,front,dohc,four,mpfi,3.54,3.07,18620
138,2.0,83.0,93.7,156.9,63.4,53.7,2050.0,97.0,9.0,69.0,4900.0,31.0,36.0,5118.0,subaru,gas,std,two,hatchback,fwd,front,ohcf,four,2bbl,3.62,2.36,5118
139,2.0,83.0,93.7,157.9,63.6,53.7,2120.0,108.0,8.7,73.0,4400.0,26.0,31.0,7053.0,subaru,gas,std,two,hatchback,fwd,front,ohcf,four,2bbl,3.62,2.64,7053
140,2.0,83.0,93.3,157.3,63.8,55.7,2240.0,108.0,8.7,73.0,4400.0,26.0,31.0,7603.0,subaru,gas,std,two,hatchback,4wd,front,ohcf,four,2bbl,3.62,2.64,7603
141,0.0,102.0,97.2,172.0,65.4,52.5,2145.0,108.0,9.5,82.0,4800.0,32.0,37.0,7126.0,subaru,gas,std,four,sedan,fwd,front,ohcf,four,2bbl,3.62,2.64,7126
142,0.0,102.0,97.2,172.0,65.4,52.5,2190.0,108.0,9.5,82.0,4400.0,28.0,33.0,7775.0,subaru,gas,std,four,sedan,fwd,front,ohcf,four,2bbl,3.62,2.64,7775
143,0.0,102.0,97.2,172.0,65.4,52.5,2340.0,108.0,9.0,94.0,5200.0,26.0,32.0,9960.0,subaru,gas,std,four,sedan,fwd,front,ohcf,four,mpfi,3.62,2.64,9960
144,0.0,102.0,97.0,172.0,65.4,54.3,2385.0,108.0,9.0,82.0,4800.0,24.0,25.0,9233.0,subaru,gas,std,four,sedan,4wd,front,ohcf,four,2bbl,3.62,2.64,9233
145,0.0,102.0,97.0,172.0,65.4,54.3,2510.0,108.0,7.7,111.0,4800.0,24.0,29.0,11259.0,subaru,gas,turbo,four,sedan,4wd,front,ohcf,four,mpfi,3.62,2.64,11259
146,0.0,89.0,97.0,173.5,65.4,53.0,2290.0,108.0,9.0,82.0,4800.0,28.0,32.0,7463.0,subaru,gas,std,four,wagon,fwd,front,ohcf,four,2bbl,3.62,2.64,7463
147,0.0,89.0,97.0,173.5,65.4,53.0,2455.0,108.0,9.0,94.0,5200.0,25.0,31.0,10198.0,subaru,gas,std,four,wagon,fwd,front,ohcf,four,mpfi,3.62,2.64,10198
148,0.0,85.0,96.9,173.6,65.4,54.9,2420.0,108.0,9.0,82.0,4800.0,23.0,29.0,8013.0,subaru,gas,std,four,wagon,4wd,front,ohcf,four,2bbl,3.62,2.64,8013
149,0.0,85.0,96.9,173.6,65.4,54.9,2650.0,108.0,7.7,111.0,4800.0,23.0,23.0,11694.0,subaru,gas,turbo,four,wagon,4wd,front,ohcf,four,mpfi,3.62,2.64,11694
150,1.0,87.0,95.7,158.7,63.6,54.5,1985.0,92.0,9.0,62.0,4800.0,35.0,39.0,5348.0,toyota,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,3.05,3.03,5348
151,1.0,87.0,95.7,158.7,63.6,54.5,2040.0,92.0,9.0,62.0,4800.0,31.0,38.0,6338.0,toyota,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,3.05,3.03,6338
152,1.0,74.0,95.7,158.7,63.6,54.5,2015.0,92.0,9.0,62.0,4800.0,31.0,38.0,6488.0,toyota,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,3.05,3.03,6488
153,0.0,77.0,95.7,169.7,63.6,59.1,2280.0,92.0,9.0,62.0,4800.0,31.0,37.0,6918.0,toyota,gas,std,four,wagon,fwd,front,ohc,four,2bbl,3.05,3.03,6918
154,0.0,81.0,95.7,169.7,63.6,59.1,2290.0,92.0,9.0,62.0,4800.0,27.0,32.0,7898.0,toyota,gas,std,four,wagon,4wd,front,ohc,four,2bbl,3.05,3.03,7898
155,0.0,91.0,95.7,169.7,63.6,59.1,3110.0,92.0,9.0,62.0,4800.0,27.0,32.0,8778.0,toyota,gas,std,four,wagon,4wd,front,ohc,four,2bbl,3.05,3.03,8778
156,0.0,91.0,95.7,166.3,64.4,53.0,2081.0,98.0,9.0,70.0,4800.0,30.0,37.0,6938.0,toyota,gas,std,four,sedan,fwd,front,ohc,four,2bbl,3.19,3.03,6938
157,0.0,91.0,95.7,166.3,64.4,52.8,2109.0,98.0,9.0,70.0,4800.0,30.0,37.0,7198.0,toyota,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,3.19,3.03,7198
158,0.0,91.0,95.7,166.3,64.4,53.0,2275.0,110.0,22.5,56.0,4500.0,34.0,36.0,7898.0,toyota,diesel,std,four,sedan,fwd,front,ohc,four,idi,3.27,3.35,7898
159,0.0,91.0,95.7,166.3,64.4,52.8,2275.0,110.0,22.5,56.0,4500.0,38.0,47.0,7788.0,toyota,diesel,std,four,hatchback,fwd,front,ohc,four,idi,3.27,3.35,7788
160,0.0,91.0,95.7,166.3,64.4,53.0,2094.0,98.0,9.0,70.0,4800.0,38.0,47.0,7738.0,toyota,gas,std,four,sedan,fwd,front,ohc,four,2bbl,3.19,3.03,7738
161,0.0,91.0,95.7,166.3,64.4,52.8,2122.0,98.0,9.0,70.0,4800.0,28.0,34.0,8358.0,toyota,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,3.19,3.03,8358
162,0.0,91.0,95.7,166.3,64.4,52.8,2140.0,98.0,9.0,70.0,4800.0,28.0,34.0,9258.0,toyota,gas,std,four,sedan,fwd,front,ohc,four,2bbl,3.19,3.03,9258
163,1.0,168.0,94.5,168.7,64.0,52.6,2169.0,98.0,9.0,70.0,4800.0,29.0,34.0,8058.0,toyota,gas,std,two,sedan,rwd,front,ohc,four,2bbl,3.19,3.03,8058
164,1.0,168.0,94.5,168.7,64.0,52.6,2204.0,98.0,9.0,70.0,4800.0,29.0,34.0,8238.0,toyota,gas,std,two,hatchback,rwd,front,ohc,four,2bbl,3.19,3.03,8238
165,1.0,168.0,94.5,168.7,64.0,52.6,2265.0,98.0,9.4,112.0,6600.0,26.0,29.0,9298.0,toyota,gas,std,two,sedan,rwd,front,dohc,four,mpfi,3.24,3.08,9298
166,1.0,168.0,94.5,168.7,64.0,52.6,2300.0,98.0,9.4,112.0,6600.0,26.0,29.0,9538.0,toyota,gas,std,two,hatchback,rwd,front,dohc,four,mpfi,3.24,3.08,9538
167,2.0,134.0,98.4,176.2,65.6,52.0,2540.0,146.0,9.3,116.0,4800.0,24.0,30.0,8449.0,toyota,gas,std,two,hardtop,rwd,front,ohc,four,mpfi,3.62,3.50,8449
168,2.0,134.0,98.4,176.2,65.6,52.0,2536.0,146.0,9.3,116.0,4800.0,24.0,30.0,9639.0,toyota,gas,std,two,hardtop,rwd,front,ohc,four,mpfi,3.62,3.50,9639
169,2.0,134.0,98.4,176.2,65.6,52.0,2551.0,146.0,9.3,116.0,4800.0,24.0,30.0,9989.0,toyota,gas,std,two,hatchback,rwd,front,ohc,four,mpfi,3.62,3.50,9989
170,2.0,134.0,98.4,176.2,65.6,52.0,2679.0,146.0,9.3,116.0,4800.0,24.0,30.0,11199.0,toyota,gas,std,two,hardtop,rwd,front,ohc,four,mpfi,3.62,3.50,11199
171,2.0,134.0,98.4,176.2,65.6,52.0,2714.0,146.0,9.3,116.0,4800.0,24.0,30.0,11549.0,toyota,gas,std,two,hatchback,rwd,front,ohc,four,mpfi,3.62,3.50,11549
172,2.0,134.0,98.4,176.2,65.6,53.0,2975.0,146.0,9.3,116.0,4800.0,24.0,30.0,17669.0,toyota,gas,std,two,convertible,rwd,front,ohc,four,mpfi,3.62,3.50,17669
173,-1.0,65.0,102.4,175.6,66.5,54.9,2326.0,122.0,8.7,92.0,4200.0,29.0,34.0,8948.0,toyota,gas,std,four,sedan,fwd,front,ohc,four,mpfi,3.31,3.54,8948
174,-1.0,65.0,102.4,175.6,66.5,54.9,2480.0,110.0,22.5,73.0,4500.0,30.0,33.0,10698.0,toyota,diesel,turbo,four,sedan,fwd,front,ohc,four,idi,3.27,3.35,10698
175,-1.0,65.0,102.4,175.6,66.5,53.9,2414.0,122.0,8.7,92.0,4200.0,27.0,32.0,9988.0,toyota,gas,std,four,hatchback,fwd,front,ohc,four,mpfi,3.31,3.54,9988
176,-1.0,65.0,102.4,175.6,66.5,54.9,2414.0,122.0,8.7,92.0,4200.0,27.0,32.0,10898.0,toyota,gas,std,four,sedan,fwd,front,ohc,four,mpfi,3.31,3.54,10898
177,-1.0,65.0,102.4,175.6,66.5,53.9,2458.0,122.0,8.7,92.0,4200.0,27.0,32.0,11248.0,toyota,gas,std,four,hatchback,fwd,front,ohc,four,mpfi,3.31,3.54,11248
178,3.0,197.0,102.9,183.5,67.7,52.0,2976.0,171.0,9.3,161.0,5200.0,20.0,24.0,16558.0,toyota,gas,std,two,hatchback,rwd,front,dohc,six,mpfi,3.27,3.35,16558
179,3.0,197.0,102.9,183.5,67.7,52.0,3016.0,171.0,9.3,161.0,5200.0,19.0,24.0,15998.0,toyota,gas,std,two,hatchback,rwd,front,dohc,six,mpfi,3.27,3.35,15998
180,-1.0,90.0,104.5,187.8,66.5,54.1,3131.0,171.0,9.2,156.0,5200.0,20.0,24.0,15690.0,toyota,gas,std,four,sedan,rwd,front,dohc,six,mpfi,3.27,3.35,15690
181,-1.0,115.0,104.5,187.8,66.5,54.1,3151.0,161.0,9.2,156.0,5200.0,19.0,24.0,15750.0,toyota,gas,std,four,wagon,rwd,front,dohc,six,mpfi,3.27,3.35,15750
182,2.0,122.0,97.3,171.7,65.5,55.7,2261.0,97.0,23.0,52.0,4800.0,37.0,46.0,7775.0,volkswagen,diesel,std,two,sedan,fwd,front,ohc,four,idi,3.01,3.40,7775
183,2.0,122.0,97.3,171.7,65.5,55.7,2209.0,109.0,9.0,85.0,5250.0,27.0,34.0,7975.0,volkswagen,gas,std,two,sedan,fwd,front,ohc,four,mpfi,3.19,3.40,7975
184,2.0,94.0,97.3,171.7,65.5,55.7,2264.0,97.0,23.0,52.0,4800.0,37.0,46.0,7995.0,volkswagen,diesel,std,four,sedan,fwd,front,ohc,four,idi,3.01,3.40,7995
185,2.0,94.0,97.3,171.7,65.5,55.7,2212.0,109.0,9.0,85.0,5250.0,27.0,34.0,8195.0,volkswagen,gas,std,four,sedan,fwd,front,ohc,four,mpfi,3.19,3.40,8195
186,2.0,94.0,97.3,171.7,65.5,55.7,2275.0,109.0,9.0,85.0,5250.0,27.0,34.0,8495.0,volkswagen,gas,std,four,sedan,fwd,front,ohc,four,mpfi,3.19,3.40,8495
187,2.0,94.0,97.3,171.7,65.5,55.7,2319.0,97.0,23.0,68.0,4500.0,37.0,42.0,9495.0,volkswagen,diesel,turbo,four,sedan,fwd,front,ohc,four,idi,3.01,3.40,9495
188,2.0,94.0,97.3,171.7,65.5,55.7,2300.0,109.0,10.0,100.0,5500.0,26.0,32.0,9995.0,volkswagen,gas,std,four,sedan,fwd,front,ohc,four,mpfi,3.19,3.40,9995
189,3.0,115.0,94.5,159.3,64.2,55.6,2254.0,109.0,8.5,90.0,5500.0,24.0,29.0,11595.0,volkswagen,gas,std,two,convertible,fwd,front,ohc,four,mpfi,3.19,3.40,11595
190,3.0,256.0,94.5,165.7,64.0,51.4,2221.0,109.0,8.5,90.0,5500.0,24.0,29.0,9980.0,volkswagen,gas,std,two,hatchback,fwd,front,ohc,four,mpfi,3.19,3.40,9980
191,0.0,115.0,100.4,180.2,66.9,55.1,2661.0,136.0,8.5,110.0,5500.0,19.0,24.0,13295.0,volkswagen,gas,std,four,sedan,fwd,front,ohc,five,mpfi,3.19,3.40,13295
192,0.0,115.0,100.4,180.2,66.9,55.1,2579.0,97.0,23.0,68.0,4500.0,33.0,38.0,13845.0,volkswagen,diesel,turbo,four,sedan,fwd,front,ohc,four,idi,3.01,3.40,13845
193,0.0,115.0,100.4,183.1,66.9,55.1,2563.0,109.0,9.0,88.0,5500.0,25.0,31.0,12290.0,volkswagen,gas,std,four,wagon,fwd,front,ohc,four,mpfi,3.19,3.40,12290
194,1.0,103.0,104.3,188.8,67.2,56.2,2912.0,141.0,9.5,114.0,5400.0,23.0,28.0,12940.0,volvo,gas,std,four,sedan,rwd,front,ohc,four,mpfi,3.78,3.15,12940
195,-1.0,74.0,104.3,188.8,67.2,57.5,3034.0,141.0,9.5,114.0,5400.0,23.0,28.0,13415.0,volvo,gas,std,four,wagon,rwd,front,ohc,four,mpfi,3.78,3.15,13415
196,1.0,103.0,104.3,188.8,67.2,56.2,2935.0,141.0,9.5,114.0,5400.0,24.0,28.0,15985.0,volvo,gas,std,four,sedan,rwd,front,ohc,four,mpfi,3.78,3.15,15985
197,-1.0,74.0,104.3,188.8,67.2,57.5,3042.0,141.0,9.5,114.0,5400.0,24.0,28.0,16515.0,volvo,gas,std,four,wagon,rwd,front,ohc,four,mpfi,3.78,3.15,16515
198,1.0,103.0,104.3,188.8,67.2,56.2,3045.0,130.0,7.5,162.0,5100.0,17.0,22.0,18420.0,volvo,gas,turbo,four,sedan,rwd,front,ohc,four,mpfi,3.62,3.15,18420
199,-1.0,74.0,104.3,188.8,67.2,57.5,3157.0,130.0,7.5,162.0,5100.0,17.0,22.0,18950.0,volvo,gas,turbo,four,wagon,rwd,front,ohc,four,mpfi,3.62,3.15,18950
200,-1.0,95.0,109.1,188.8,68.9,55.5,2952.0,141.0,9.5,114.0,5400.0,23.0,28.0,16845.0,volvo,gas,std,four,sedan,rwd,front,ohc,four,mpfi,3.78,3.15,16845
201,-1.0,95.0,109.1,188.8,68.8,55.5,3049.0,141.0,8.7,160.0,5300.0,19.0,25.0,19045.0,volvo,gas,turbo,four,sedan,rwd,front,ohc,four,mpfi,3.78,3.15,19045
202,-1.0,95.0,109.1,188.8,68.9,55.5,3012.0,173.0,8.8,134.0,5500.0,18.0,23.0,21485.0,volvo,gas,std,four,sedan,rwd,front,ohcv,six,mpfi,3.58,2.87,21485
203,-1.0,95.0,109.1,188.8,68.9,55.5,3217.0,145.0,23.0,106.0,4800.0,26.0,27.0,22470.0,volvo,diesel,turbo,four,sedan,rwd,front,ohc,six,idi,3.01,3.40,22470
204,-1.0,95.0,109.1,188.8,68.9,55.5,3062.0,141.0,9.5,114.0,5400.0,19.0,25.0,22625.0,volvo,gas,turbo,four,sedan,rwd,front,ohc,four,mpfi,3.78,3.15,22625
